安徽组播,#genre#
剧场7,http://home4.kmo.ink:8888/rtp/239.2.1.76:4120
剧场8,http://home4.kmo.ink:8888/rtp/239.2.1.77:4120
剧场8,http://home4.kmo.ink:8888/rtp/239.2.1.77:4120
剧场9,http://home4.kmo.ink:8888/rtp/239.2.1.79:4120
剧场10,http://home4.kmo.ink:8888/rtp/239.2.1.80:4120
剧场11,http://home4.kmo.ink:8888/rtp/239.2.1.81:4120
武侠剧场,http://home4.kmo.ink:8888/rtp/239.2.1.90:4120
古装剧场,http://home4.kmo.ink:8888/rtp/239.2.1.194:9020
华数,http://home4.kmo.ink:8888/rtp/239.2.1.91:4120
电影轮播, http://home4.kmo.ink:8888/rtp/239.2.1.93:4120
华数电影轮播,http://home4.kmo.ink:8888/rtp/239.2.1.94:4120
北京IPTV4K超清,http://home4.kmo.ink:8888/rtp/239.2.1.249:8002
北京IPTV淘电影,http://home4.kmo.ink:8888/rtp/239.2.1.250:8002
北京IPTV淘精彩,http://home4.kmo.ink:8888/rtp/239.2.1.178:8000
北京IPTV淘剧场,http://home4.kmo.ink:8888/rtp/239.2.1.95:8002
北京IPTV淘娱乐,http://home4.kmo.ink:8888/rtp/239.2.1.100:8002
北京IPTV萌宠,http://home4.kmo.ink:8888/rtp/239.2.1.102:8002
时尚科技秀,http://home4.kmo.ink:8888/rtp/239.2.1.72:4120
晴彩竞技,http://home4.kmo.ink:8888/rtp/239.2.1.125:8000
晴彩篮球,http://home4.kmo.ink:8888/rtp/239.2.1.126:8000
晴彩羽毛球,http://home4.kmo.ink:8888/rtp/239.2.1.127:8000
晴彩广场舞,http://home4.kmo.ink:8888/rtp/239.2.1.128:8000
华数,http://home4.kmo.ink:8888/rtp/239.2.1.74:4120
港剧风云,http://49.65.90.128:8800/rtp/239.49.1.201:6000
Bestv1,http://60.164.228.34:4040/udp/239.255.30.100:8231
Bestv2,http://60.164.228.34:4040/udp/239.255.30.118:8231
Bestv3,http://60.164.228.34:4040/udp/239.255.30.150:8231
Bestv4,http://60.164.228.34:4040/udp/239.255.30.151:8231
Bestv5,http://60.164.228.34:4040/udp/239.255.30.160:8231
Bestv6,http://60.164.228.34:4040/udp/239.255.30.166:8231
Bestv7,http://60.164.228.34:4040/udp/239.255.30.167:8231
Bestv8,http://60.164.228.34:4040/udp/239.255.30.168:8231
Bestv9,http://60.164.228.34:4040/udp/239.255.30.193:8231
Bestv10,http://60.164.228.34:4040/udp/239.255.30.194:8231
Bestv11,http://60.164.228.34:4040/udp/239.255.30.196:8231
Bestv12,http://60.164.228.34:4040/udp/239.255.30.197:8231
Bestv13,http://60.164.228.34:4040/udp/239.255.30.198:8231
Bestv14,http://60.164.228.34:4040/udp/239.255.30.217:8231
Bestv15,http://60.164.228.34:4040/udp/239.255.30.236:8231
Bestv16,http://60.164.228.34:4040/udp/239.255.30.249:8231
